,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,updated_github_id,trending
37,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-04-27 14:18:51,2021-04-27 09:54:48,59.0,22.0,47.0,787.0,1386.0,,,,,,The Hacker's Machine Learning Engine.,42.0,13,False,2,,,,,
38,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-06-27 19:36:15,2021-06-27 19:28:39,44.0,10.0,41.0,626.0,818.0,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",11.0,13,True,1,,,,,
39,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2021-04-16 11:40:12,2021-04-16 11:40:12,21.0,4.0,22.0,300.0,345.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,11.0,13,True,2,,,,,
40,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-06-02 21:23:16,2021-06-02 21:22:34,7.0,5.0,8.0,292.0,,2021-06-02 21:24:47,1.2.2,,,8.0,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",3.0,13,True,1,,,,,
41,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2021-06-25 12:28:57,2021-06-25 12:28:50,23.0,5.0,16.0,277.0,174.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,7.0,13,False,3,,,,,
42,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,MIT,2020-01-31 10:34:17,2021-06-06 03:58:50,2021-04-15 12:06:36,11.0,8.0,13.0,180.0,,2021-03-16 17:04:05,0.5.7,,,12.0,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",4.0,13,True,1,2.0,2.0,,,
43,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,MIT,2019-03-14 12:52:32,2021-03-14 20:25:32,2020-07-01 09:05:33,11.0,5.0,21.0,151.0,167.0,2020-04-14 14:23:06,0.6.2,,,18.0,Simple but powerful graph library for Rust.,11.0,13,True,3,,,,,
44,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2021-06-25 20:31:40,2021-06-24 13:18:09,50.0,56.0,84.0,128.0,978.0,,,,,,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,56.0,13,True,2,,,['binding'],,
45,tokenizations,explosion/tokenizations,nlp,https://github.com/explosion/tokenizations,https://github.com/explosion/tokenizations,MIT,2019-12-30 10:02:22,2021-06-08 12:44:40,2021-05-17 14:25:07,7.0,,9.0,79.0,265.0,2021-02-01 15:28:20,python/0.8.1,,,2.0,Robust and Fast tokenizations alignment library for Rust and Python https://tamuhey.github.io/tokenizations/.,3.0,13,False,1,,,,,
46,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,262.0,26.0,24.0,5472.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,15.0,12,False,2,,,,,
47,evcxr,google/evcxr,ml-frameworks,https://github.com/google/evcxr,https://github.com/google/evcxr,Apache-2.0,2018-09-25 10:19:22,2021-06-06 04:51:04,2021-06-06 04:50:22,115.0,49.0,74.0,2560.0,,,,,,,,27.0,12,False,2,,,,,
48,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,2014-03-22 06:58:51,2021-06-16 09:31:17,2021-04-15 15:46:24,129.0,28.0,122.0,971.0,431.0,,,,,,"A CSV parser for Rust, with Serde support.",48.0,12,False,3,,,,,
49,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-06-28 06:33:46,2021-06-27 14:32:14,30.0,14.0,27.0,489.0,,2021-06-11 08:30:51,0.0.13,,,7.0,High-performance automatic differentiation of LLVM.,11.0,12,False,2,,,,,
50,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,2015-06-11 23:02:10,2021-05-12 16:01:21,2021-05-12 16:01:21,53.0,4.0,39.0,457.0,181.0,,,,,,A fast implementation of Aho-Corasick in Rust.,24.0,12,False,2,,,,,
51,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,2015-06-11 23:01:31,2021-06-13 04:16:56,2021-05-06 21:27:09,48.0,1.0,32.0,288.0,165.0,,,,,,Optimized string search routines for Rust.,29.0,12,False,2,,,,,
52,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/vbarrielle/sprs,https://github.com/vbarrielle/sprs,,2015-05-17 19:01:01,2021-06-21 20:28:19,2021-06-21 20:28:19,25.0,36.0,96.0,242.0,1027.0,,,,,,sparse linear algebra library for rust.,21.0,12,False,2,,,,,
53,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,MIT,2020-01-22 14:27:57,2021-06-20 02:28:14,2021-06-20 02:28:13,13.0,6.0,25.0,106.0,143.0,2020-10-15 11:11:47,0.7.1,,,16.0,A morphological analysis library.,7.0,12,True,2,,,,,
54,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,2016-04-25 11:22:18,2021-03-09 19:49:09,2021-03-09 19:49:09,28.0,1.0,27.0,95.0,131.0,2020-04-20 04:05:53,2.0.1,290.0,7.0,13.0,Dynamically get the suggested clusters in the data for unsupervised learning.,4.0,12,False,2,18.0,18.0,,,
55,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,2018-01-27 21:50:14,2021-06-22 17:51:33,2021-06-22 17:07:39,8.0,3.0,12.0,44.0,203.0,2021-06-21 19:51:47,0.10.0,,,9.0,Rust language bindings for Faiss.,5.0,12,False,2,,,['binding'],,1.0
56,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,,2018-07-22 10:09:33,2021-06-23 04:18:30,2021-06-03 09:55:06,30.0,12.0,26.0,296.0,797.0,,,,,,Mathematical optimization in pure Rust.,15.0,11,False,2,,,,,
57,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-05-26 07:23:00,2021-05-26 07:20:11,13.0,8.0,14.0,223.0,1192.0,,,,,,"Rust numeric library with R, MATLAB & Python syntax.",9.0,11,False,2,,,,,
58,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,28.0,2.0,7.0,191.0,97.0,,,,,,Natural Language Processing for Rust.,14.0,11,False,2,,,,,
59,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2021-06-28 10:51:58,2021-03-15 07:00:17,10.0,24.0,2.0,133.0,562.0,,,,,,"Rust CV mono-repo. Contains pure-Rust dependencies which attempt to encapsulate the capability of OpenCV, OpenMVG, and..",4.0,11,True,3,,,,,1.0
60,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,47.0,28.0,26.0,112.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,19.0,11,False,2,,,,,
61,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,11.0,19.0,15.0,102.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",4.0,11,True,2,,,,,
62,rustling,snipsco/rustling,nlp,https://github.com/snipsco/rustling,https://github.com/snipsco/rustling,,2017-04-10 08:50:12,2019-09-11 16:13:12,2019-09-11 16:12:55,23.0,,2.0,63.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,6.0,11,False,2,,,['binding'],,
63,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,2018-06-02 08:47:45,2021-06-16 04:55:16,2021-05-14 09:44:38,4.0,2.0,28.0,61.0,283.0,2020-07-27 09:03:36,0.9.4,31.0,0.0,12.0,Context-sensitive word embeddings with subwords. In Rust.,6.0,11,False,2,,,,,
64,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,30.0,4.0,6.0,55.0,505.0,2019-09-06 13:58:41,0.67.2,,,35.0,Ontology of Snips NLU.,12.0,11,False,2,,,,,
65,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,2019-03-19 18:18:31,2021-04-29 16:07:12,2021-02-22 06:07:48,4.0,6.0,34.0,37.0,219.0,2020-08-15 06:46:38,0.14.0,,,8.0,finalfusion embeddings in Rust.,4.0,11,False,2,,,,,
66,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2021-06-21 04:51:10,2020-07-24 16:19:15,1.0,3.0,6.0,32.0,152.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,3.0,11,False,2,,,['binding'],,
67,black-jack,milesgranger/black-jack,ml-frameworks,https://github.com/milesgranger/black-jack,https://github.com/milesgranger/black-jack,GPL-3.0,2018-08-18 14:31:48,2021-04-29 19:40:12,2021-04-29 19:39:04,5.0,8.0,42.0,26.0,217.0,2019-04-28 11:10:27,0.1.0,,,2.0,DataFrame / Series data processing in Rust.,2.0,11,False,2,,,,,
68,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/pyrus-cramjam,https://github.com/milesgranger/pyrus-cramjam,MIT,2020-03-08 07:46:33,2021-05-31 08:22:02,2021-05-31 07:48:20,2.0,4.0,16.0,23.0,46.0,2021-05-31 08:22:02,2.3.2,,,20.0,Thin Python wrapper to de/compression algorithms in Rust - lightweight & no dependencies.,2.0,11,False,2,,,,,
69,datafrog,rust-lang/datafrog,data-loading,https://github.com/rust-lang/datafrog,https://github.com/rust-lang/datafrog,,2018-05-16 13:37:32,2021-05-04 21:24:45,2021-05-04 21:24:45,30.0,3.0,2.0,416.0,103.0,,,,,,A lightweight Datalog engine in Rust.,11.0,10,False,3,,,,,
70,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,30.0,1.0,2.0,300.0,41.0,,,,,,A neural network crate.,2.0,10,False,3,,,,,
71,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,20.0,12.0,26.0,278.0,119.0,,,,,,"A Rust DataFrame implementation, built on Apache Arrow.",4.0,10,True,3,,,,,
72,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2021-05-17 02:10:15,2021-05-17 02:08:00,13.0,4.0,13.0,212.0,,,,,,,Rust library for regular expressions using fancy features like look-around and backreferences.,13.0,10,True,2,,,,,
73,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,193.0,78.0,,,,,,Neural networks in Rust.,2.0,10,False,3,,,,,
74,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,14.0,,1.0,132.0,164.0,2019-09-04 00:34:56,1.0,,,1.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,10,True,3,,,,,
75,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,4.0,3.0,99.0,102.0,2020-11-17 23:04:49,0.2.0,,,1.0,Orkhon: ML Inference Framework and Server Runtime.,,10,False,3,,,,,
