,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,new_addition,dependent_project_count,github_dependent_project_count
13,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-03-25 12:58:45,2021-03-24 19:31:30,62.0,7.0,165.0,607.0,863.0,,,,,,Rust bindings for OpenCV 3 & 4.,25.0,14,True,1.0,,,
14,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,55.0,4.0,15.0,316.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,21.0,14,False,1.0,,,
15,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-03-17 10:17:53,2021-03-13 18:10:09,26.0,13.0,19.0,310.0,,2021-02-20 21:33:21,0.4.6,1402.0,467.0,18.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",5.0,14,False,1.0,True,,
16,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2021-03-15 20:31:41,2021-03-15 20:31:40,42.0,10.0,34.0,1342.0,,2020-02-26 20:39:27,0.8.0,1877.0,98.0,12.0,Example-based texture synthesis written in Rust.,18.0,13,False,2.0,,,
17,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,142.0,33.0,66.0,1154.0,532.0,,,,,,Machine Learning library for Rust.,20.0,13,False,2.0,,,
18,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-03-05 16:52:28,2020-10-19 17:07:39,56.0,27.0,38.0,743.0,1300.0,,,,,,The Hacker's Machine Learning Engine.,42.0,13,False,2.0,,,
19,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-03-24 17:31:15,2021-03-23 15:36:52,38.0,6.0,33.0,517.0,715.0,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",9.0,13,True,2.0,,,
20,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2020-06-21 02:01:59,2020-06-21 02:01:58,43.0,8.0,4.0,481.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,9.0,13,True,2.0,,,
21,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2020-11-25 09:43:07,2020-11-25 09:43:06,21.0,5.0,14.0,269.0,167.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,6.0,13,False,2.0,,,
22,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-02-25 21:31:21,2021-01-31 19:17:17,4.0,5.0,7.0,266.0,84.0,2021-01-31 19:22:29,1.1.0,,,5.0,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",2.0,13,True,2.0,,,
23,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,MIT,2020-01-22 14:27:57,2021-01-16 05:55:48,2021-01-16 05:55:46,11.0,5.0,25.0,100.0,142.0,2020-10-15 11:11:47,0.7.1,,,16.0,A morphological analysis library.,6.0,13,True,2.0,True,,
24,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,265.0,26.0,24.0,5473.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,15.0,12,False,2.0,,,
25,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,2019-02-16 21:08:44,2021-03-15 21:20:23,2021-03-15 21:20:18,89.0,25.0,185.0,988.0,549.0,,,,,,Rust bindings for the C++ api of PyTorch.,29.0,12,False,2.0,,,
26,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,2020-11-05 17:16:06,2021-03-22 12:52:33,2021-03-22 12:52:33,17.0,3.0,4.0,305.0,42.0,2020-12-23 18:07:46,1.1.0,188.0,47.0,3.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",7.0,12,False,2.0,True,,
27,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2021-02-06 10:34:39,2020-12-31 14:24:43,19.0,,21.0,281.0,343.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,10.0,12,True,2.0,,,
28,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,MIT,2020-01-31 10:34:17,2021-03-16 17:49:44,2021-03-16 17:49:40,10.0,7.0,12.0,142.0,,2021-03-16 17:04:05,0.5.7,,,12.0,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",3.0,12,True,2.0,True,2.0,2.0
29,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,4.0,3.0,98.0,102.0,2020-11-17 23:04:49,0.2.0,,,1.0,Orkhon: ML Inference Framework and Server Runtime.,,12,False,2.0,,,
30,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,2015-06-11 23:02:10,2020-11-03 17:22:00,2020-11-03 17:20:49,48.0,2.0,29.0,427.0,169.0,,,,,,A fast implementation of Aho-Corasick in Rust.,22.0,11,False,2.0,True,,
31,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-03-24 07:31:42,2021-03-01 11:23:03,8.0,6.0,13.0,195.0,1133.0,,,,,,"Rust numeric library with R, MATLAB & Python syntax.",8.0,11,False,3.0,,,
32,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,27.0,2.0,7.0,190.0,97.0,,,,,,Natural Language Processing for Rust.,14.0,11,False,2.0,,,
33,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,10.0,19.0,15.0,94.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",4.0,11,False,3.0,,,
34,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2021-03-15 07:00:22,2021-03-15 07:00:17,7.0,24.0,2.0,83.0,562.0,,,,,,Rust CV mono-repo.,4.0,11,False,3.0,,,
35,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,2019-03-19 18:18:31,2021-02-22 07:15:28,2021-02-22 06:07:48,4.0,6.0,34.0,35.0,219.0,2020-08-15 06:46:38,0.14.0,,,8.0,finalfusion embeddings in Rust.,4.0,11,False,2.0,True,,
36,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,30.0,1.0,2.0,301.0,41.0,,,,,,A neural network crate.,2.0,10,False,3.0,,,
37,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,18.0,12.0,26.0,271.0,119.0,,,,,,"A Rust DataFrame implementation, built on Apache Arrow.",4.0,10,True,3.0,True,,
38,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,191.0,78.0,,,,,,Neural networks in Rust.,2.0,10,False,3.0,,,
39,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,MIT,2017-02-06 15:57:08,2020-10-25 09:17:59,2020-10-25 09:17:58,5.0,3.0,,76.0,245.0,,,,,,A deep learning library for rust.,3.0,10,False,3.0,,,
40,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,76.0,532.0,,,,,,Deep Learning in Rust with the PyTorch API.,,10,False,3.0,,,
41,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-03-14 08:08:14,2021-02-18 16:42:24,8.0,,5.0,73.0,329.0,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",2.0,10,False,3.0,,,
42,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,2018-06-02 08:47:45,2021-03-23 05:57:53,2021-02-08 06:26:07,4.0,2.0,28.0,61.0,278.0,2020-07-27 09:03:36,0.9.4,30.0,1.0,12.0,Context-sensitive word embeddings with subwords. In Rust.,6.0,10,False,3.0,True,,
43,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,3.0,,1.0,52.0,194.0,,,,,,Awesome deep learning crate.,2.0,10,False,3.0,,,
44,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2021-03-06 00:26:24,2021-03-05 23:02:11,14.0,20.0,16.0,116.0,,,,,,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,13.0,9,False,3.0,,,
45,vtext,rth/vtext,nlp,https://github.com/rth/vtext,https://github.com/rth/vtext,Apache-2.0,2018-11-05 09:02:15,2020-07-22 19:19:12,2020-06-18 21:00:31,10.0,11.0,7.0,108.0,143.0,,,,,,Simple NLP in Rust with Python bindings.,3.0,9,False,3.0,,,
46,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,2015-06-23 13:59:00,2018-01-31 13:53:22,2018-01-31 13:53:17,6.0,2.0,3.0,46.0,332.0,2015-10-07 20:05:27,0.0.5,,,4.0,Machine learning in Rust.,2.0,9,False,3.0,,,
47,dpar,danieldk/dpar,nlp,https://github.com/danieldk/dpar,https://github.com/danieldk/dpar,Apache-2.0,2015-03-18 10:17:41,2020-09-14 12:16:26,2020-09-14 12:16:07,3.0,5.0,6.0,39.0,58.0,,,,,,Neural network transition-based dependency parser (in Rust).,3.0,9,False,3.0,True,,
48,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,https://github.com/mpizenberg/visual-odometry-rs,https://github.com/mpizenberg/visual-odometry-rs,MPL-2.0,2018-03-26 08:10:34,2020-01-17 19:04:01,2019-03-25 14:16:01,1.0,6.0,1.0,27.0,299.0,,,,,,Visual Odometry in Rust (vors).,,9,False,3.0,,,
49,visionmagic,visioncortex/visionmagic/,image,https://github.com/visioncortex/visionmagic,https://github.com/visioncortex/visionmagic,,2020-12-16 15:07:32,2021-02-07 06:22:52,2021-02-07 06:22:52,1.0,,,21.0,26.0,2020-12-18 17:16:23,0.1.2,,,3.0,Collection of vision & graphics algorithms.,,9,False,3.0,,,
50,sentencepiece,danieldk/sentencepiece,nlp,https://github.com/danieldk/sentencepiece,https://github.com/danieldk/sentencepiece,Apache-2.0,2020-01-22 15:30:22,2021-03-23 05:57:47,2021-02-09 14:46:50,1.0,,1.0,6.0,,2021-01-25 13:33:05,0.6.0,,,2.0,Rust binding for the sentencepiece library.,2.0,9,False,3.0,True,,
51,hal,jramapuram/hal,ml-frameworks,https://github.com/jramapuram/hal,https://github.com/jramapuram/hal,MIT,2015-07-22 20:11:09,2016-10-22 00:27:46,2016-10-22 00:24:58,9.0,5.0,,75.0,52.0,,,,,,Rust based Cross-GPU Machine Learning.,2.0,8,False,3.0,,,
52,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,,48.0,38.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,2.0,8,False,3.0,,,
53,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,,,20.0,63.0,,,,,,Rust interface to word2vec.,5.0,8,False,3.0,,,
54,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,https://github.com/avinashshenoy97/RusticSOM,https://github.com/avinashshenoy97/RusticSOM,MIT,2018-03-04 07:44:42,2020-10-14 21:10:03,2020-10-07 18:54:35,5.0,,,20.0,48.0,,,,,,Rust library for Self Organising Maps (SOM).,5.0,8,False,3.0,True,,
55,crfsuite-rs,messense/crfsuite-rs,ml-frameworks,https://github.com/messense/crfsuite-rs,https://github.com/messense/crfsuite-rs,MIT,2018-01-05 07:58:56,2021-01-30 15:29:24,2021-01-27 09:27:30,,,8.0,13.0,144.0,,,,,,Rust binding to crfsuite.,,8,False,3.0,True,,
56,alpino-tokenizer,danieldk/alpino-tokenizer,nlp,https://github.com/danieldk/alpino-tokenizer,https://github.com/danieldk/alpino-tokenizer,Apache-2.0,2019-10-08 07:11:10,2021-03-15 04:51:34,2020-10-08 09:13:16,,,,2.0,38.0,2020-10-08 08:49:03,0.3.0,8.0,1.0,1.0,Rust wrapper for the Alpino tokenizer.,,8,False,3.0,True,,
57,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,2019-06-17 23:43:49,2021-03-06 01:20:03,2021-03-06 01:19:58,3.0,,5.0,99.0,,,,,,,Machine Learning Library for Rust.,3.0,7,False,3.0,,,
58,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,2020-09-14 12:52:38,2021-03-21 16:17:53,2021-03-21 16:17:53,7.0,2.0,,96.0,,,,,,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",7.0,7,False,3.0,,,
59,tflite-rs,boncheolgu/tflite-rs,ml-frameworks,https://github.com/boncheolgu/tflite-rs,https://github.com/boncheolgu/tflite-rs,,2018-10-23 13:13:57,2021-03-20 08:47:36,2021-03-20 08:19:51,18.0,9.0,8.0,38.0,143.0,,,,,,,7.0,7,False,3.0,,,
60,cogent,JonathanWoollett-Light/cogent,ml-frameworks,https://github.com/JonathanWoollett-Light/cogent,https://github.com/JonathanWoollett-Light/cogent,,2019-09-30 01:15:30,2021-03-13 18:26:33,2021-03-13 18:26:33,,,,24.0,353.0,,,,,,Simple neural network library for classification written in Rust.,2.0,7,False,3.0,,,
61,deepfrog,proycon/deepfrog,nlp,https://github.com/proycon/deepfrog,https://github.com/proycon/deepfrog,GPL-3.0,2020-02-12 12:28:13,2020-09-29 20:00:51,2020-09-29 14:58:49,1.0,2.0,3.0,13.0,125.0,2020-09-29 20:00:51,0.2.0,,,1.0,An NLP-suite powered by deep learning.,,7,False,3.0,,,
62,lumberjack,sebpuetz/lumberjack,nlp,https://github.com/sebpuetz/lumberjack,https://github.com/sebpuetz/lumberjack,Apache-2.0,2019-03-27 14:31:59,2020-05-05 12:29:29,2019-08-28 14:04:12,2.0,1.0,6.0,11.0,71.0,2019-05-27 12:20:25,0.3,,,2.0,Read and modify constituency trees in Rust.,2.0,7,False,3.0,True,,
63,drug,CasperN/drug,ml-frameworks,https://github.com/CasperN/drug,https://github.com/CasperN/drug,MIT,2018-08-12 21:43:02,2018-10-26 16:34:55,2018-10-26 16:34:50,,,1.0,10.0,72.0,,,,,,Differentiable Rust Graphs (neural network library).,,7,False,3.0,,,
64,batched-fn,epwalsh/batched-fn,ml-frameworks,https://github.com/epwalsh/batched-fn,https://github.com/epwalsh/batched-fn,Apache-2.0,2020-03-20 22:06:11,2021-01-05 18:00:08,2021-01-05 18:00:06,,1.0,,3.0,47.0,,,,,,Rust middleware for serving deep learning models with batched prediction.,2.0,7,False,3.0,,,
65,seqalign,danieldk/seqalign,nlp,https://github.com/danieldk/seqalign,https://github.com/danieldk/seqalign,Apache-2.0,2018-03-06 14:46:35,2021-03-09 04:52:23,2020-05-11 12:21:23,,2.0,1.0,,41.0,,,,,,Sequence alignments.,,7,False,3.0,True,,
66,prophet,robbepop/prophet,ml-frameworks,https://github.com/Robbepop/prophet,https://github.com/Robbepop/prophet,,2016-09-04 16:28:38,2019-07-31 09:45:36,2018-05-25 09:44:58,1.0,4.0,4.0,39.0,151.0,,,,,,A simple neural net implementation.,2.0,6,False,3.0,,,
67,revonet,yurytsoy/revonet,ml-frameworks,https://github.com/yurytsoy/revonet,https://github.com/yurytsoy/revonet,GPL-3.0,2017-05-13 08:37:07,2017-08-20 14:10:04,2017-08-20 14:08:55,1.0,,15.0,14.0,73.0,,,,,,Rust implementation of real-coded GA for solving optimization problems and training of neural networks.,,6,False,3.0,,,
68,fann-rs,afck/fann-rs,ml-frameworks,https://github.com/afck/fann-rs,https://github.com/afck/fann-rs,LGPL-3.0,2015-06-26 15:59:52,2018-10-19 20:53:06,2018-10-19 20:52:44,,,1.0,11.0,57.0,,,,,,Rust wrapper for the Fast Artificial Neural Network library.,,6,False,3.0,,,
69,syntaxdot,tensordot/syntaxdot,nlp,https://github.com/tensordot/syntaxdot,https://github.com/tensordot/syntaxdot,,2020-10-07 17:49:05,2021-03-24 15:42:06,2021-03-24 15:42:03,,4.0,9.0,9.0,,2021-03-22 16:17:43,0.3.0,,,7.0,"Neural syntax annotator, supporting sequence labeling, lemmatization, and dependency parsing.",2.0,6,False,3.0,True,,
70,reductive,finalfusion/reductive,ml-frameworks,https://github.com/finalfusion/reductive,https://github.com/finalfusion/reductive,Apache-2.0,2019-09-04 09:48:00,2021-02-21 16:26:36,2021-02-21 16:25:41,,1.0,2.0,,62.0,,,,,,Vector quantization.,2.0,6,False,3.0,True,,
71,cntk-rs,usamec/cntk-rs,ml-frameworks,https://github.com/usamec/cntk-rs,https://github.com/usamec/cntk-rs,,2017-10-29 16:32:42,2018-03-04 12:55:18,2018-03-04 12:55:13,,1.0,1.0,20.0,41.0,,,,,,Wrapper around Microsoft CNTK library.,,5,False,3.0,,,
72,blingfire-rs,reinfer/blingfire-rs,nlp,https://github.com/reinfer/blingfire-rs,https://github.com/reinfer/blingfire-rs,MIT,2019-07-06 13:50:14,2020-06-23 16:31:02,2020-06-23 16:30:54,,,1.0,11.0,19.0,,,,,,Rust wrapper for the BlingFire tokenization library.,2.0,5,False,3.0,,,
73,image-ssd,mermoldy/image-ssd,image,https://github.com/mermoldy/image-ssd,https://github.com/mermoldy/image-ssd,MIT,2020-08-30 21:11:13,2020-10-24 17:17:43,2020-10-24 17:17:20,,,,1.0,12.0,,,,,,A Rust library for object detection via SSD MobileNet.,,5,False,3.0,,,
74,ohnomore,danieldk/ohnomore,nlp,https://github.com/danieldk/ohnomore,https://github.com/danieldk/ohnomore,,2017-12-08 13:25:51,2021-02-19 04:55:30,2021-02-09 14:35:35,,3.0,,,92.0,,,,,,Explorations in lemmatization.,3.0,5,False,3.0,True,,
75,wordpieces,danieldk/wordpieces,nlp,https://github.com/danieldk/wordpieces,https://github.com/danieldk/wordpieces,,2019-11-22 10:36:17,2021-02-05 08:15:14,2021-02-05 08:14:28,,,,1.0,27.0,,,,,,Split tokens into word pieces.,2.0,4,False,3.0,True,,
76,aleph-alpha-tokenizer,Aleph-Alpha/aleph-alpha-tokenizer,nlp,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,https://github.com/Aleph-Alpha/aleph-alpha-tokenizer,,2020-04-15 09:07:39,2020-07-13 08:52:05,2020-07-13 08:52:00,,1.0,,5.0,16.0,,,,,,A rustic language tokenizer library inspired by huggingface's tokenizers.,2.0,3,False,3.0,,,
77,misspeller,andrew-johnson-4/misspeller,nlp,https://github.com/andrew-johnson-4/misspeller,https://github.com/andrew-johnson-4/misspeller,,2020-08-04 22:25:41,2020-12-27 22:57:27,2020-12-27 22:57:26,1.0,,,,27.0,,,,,,Take correctly spelled words and return common spelling mistakes.,2.0,3,False,3.0,,,
78,rusoto,usoto/rusoto,ml-frameworks,,{},,,,,,,,,,,,,,,,,0,False,,,,
79,L2,bkkaggle/l2,ml-frameworks,,{},,,,,,,,,,,,,,,,,0,False,,,,
